,path id,covered nerve,uncovered nerve,covered nerve (subclasses),complete (subclasses)
111,ilxtr:sparc-nlp/mmset4/11,[],['UBERON:0018680'],"['FMA:6955', 'FMA:6956']",True
112,ilxtr:sparc-nlp/mmset4/12,[],['UBERON:0018680'],"['FMA:6955', 'FMA:6956']",True
113,ilxtr:sparc-nlp/mmset4/7,[],"['UBERON:0018681', 'UBERON:0018680']","['FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958']",True
114,ilxtr:sparc-nlp/mmset4/8,[],"['UBERON:0018681', 'UBERON:0018680']","['FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958']",True
115,ilxtr:neuron-type-sdcol-c,[],['ILX:0793632'],[],False
116,ilxtr:neuron-type-sdcol-d,[],['ILX:0793632'],[],False
117,ilxtr:neuron-type-sdcol-f,[],['ILX:0793632'],[],False
118,ilxtr:neuron-type-sdcol-g,[],['ILX:0793632'],[],False
119,ilxtr:neuron-type-sdcol-h,[],['ILX:0793632'],[],False
120,ilxtr:neuron-type-sdcol-q,[],['ILX:0793632'],[],False
121,ilxtr:neuron-type-sdcol-q-prime,[],['ILX:0793632'],[],False
122,ilxtr:neuron-type-splen-5,[],['ILX:0793563'],[],False
123,ilxtr:sparc-nlp/femrep/30,[],['ILX:0794916'],[],False
124,ilxtr:sparc-nlp/femrep/41,[],['ILX:0794916'],[],False
125,ilxtr:sparc-nlp/kidney/133,[],['UBERON:0001964'],"['FMA:6959', 'FMA:6960']",True
126,ilxtr:sparc-nlp/kidney/139,[],"['UBERON:0018681', 'UBERON:0001964']","['FMA:6959', 'FMA:6960', 'FMA:6957', 'FMA:6958']",True
127,ilxtr:sparc-nlp/kidney/144,[],"['UBERON:0018681', 'UBERON:0001964']","['FMA:6959', 'FMA:6960', 'FMA:6957', 'FMA:6958']",True
128,ilxtr:sparc-nlp/kidney/150,[],['UBERON:0001964'],"['FMA:6959', 'FMA:6960']",True
129,ilxtr:sparc-nlp/kidney/131,[],['UBERON:0018681'],"['FMA:6957', 'FMA:6958']",True
130,ilxtr:sparc-nlp/liver/105,[],['UBERON:0018679'],"['FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958', 'FMA:6959', 'FMA:6960']",True
131,ilxtr:sparc-nlp/liver/107,[],['UBERON:0018679'],"['FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958', 'FMA:6959', 'FMA:6960']",True
132,ilxtr:sparc-nlp/liver/113,[],['UBERON:0018679'],"['FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958', 'FMA:6959', 'FMA:6960']",True
133,ilxtr:sparc-nlp/liver/126,[],['UBERON:0018679'],"['FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958', 'FMA:6959', 'FMA:6960']",True
134,ilxtr:sparc-nlp/liver/130,[],['UBERON:0018679'],"['FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958', 'FMA:6959', 'FMA:6960']",True
135,ilxtr:sparc-nlp/femrep/38,[],['ILX:0793822'],[],False
136,ilxtr:sparc-nlp/liver/109,[],['ILX:0793826'],[],False
137,ilxtr:sparc-nlp/liver/122,[],['ILX:0793826'],[],False
138,ilxtr:sparc-nlp/liver/111,[],['ILX:0793827'],[],False
139,ilxtr:sparc-nlp/liver/124,[],['ILX:0793827'],[],False
140,ilxtr:sparc-nlp/mmset1/10,[],"['ILX:0793702', 'UBERON:0001647', 'UBERON:0018412']","['FMA:53423', 'FMA:53424', 'FMA:50888', 'FMA:50889']",False
141,ilxtr:sparc-nlp/mmset1/2,[],"['ILX:0793711', 'ILX:0793712', 'UBERON:0011096', 'ILX:0793713', 'UBERON:0018412']","['FMA:0328826', 'FMA:0328827', 'FMA:52629', 'FMA:52630', 'FMA:52968', 'FMA:52969']",False
142,ilxtr:sparc-nlp/mmset2cn/3,[],"['UBERON:0009675', 'UBERON:0003721', 'UBERON:0001647']","['FMA:50888', 'FMA:50889', 'FMA:53219', 'FMA:53220']",False
143,ilxtr:sparc-nlp/senmot/69,[],['UBERON:0001780'],"['FMA:6038', 'FMA:6039', 'FMA:6088', 'FMA:6089', 'FMA:6116', 'FMA:6117', 'FMA:6182', 'FMA:6183', 'FMA:6291', 'FMA:6292', 'FMA:6294', 'FMA:6295', 'FMA:6297', 'FMA:6298', 'FMA:6300', 'FMA:6301', 'FMA:6303', 'FMA:6305', 'FMA:6307', 'FMA:6308', 'FMA:6310', 'FMA:6311', 'FMA:6313', 'FMA:6314', 'FMA:6410', 'FMA:6411', 'FMA:6412', 'FMA:6413', 'FMA:6417', 'FMA:6418', 'FMA:6419', 'FMA:6420', 'FMA:6421', 'FMA:6422', 'FMA:6428', 'FMA:6429', 'FMA:6430', 'FMA:6431', 'FMA:6432', 'FMA:6433', 'FMA:6434', 'FMA:6435', 'FMA:6436', 'FMA:6437', 'FMA:6438', 'FMA:6439']",True
144,ilxtr:sparc-nlp/mmset1/13,[],['ILX:0793714'],[],False
145,ilxtr:sparc-nlp/mmset2cn/7,[],"['ILX:0793711', 'UBERON:0011096']","['FMA:52629', 'FMA:52630']",False
146,ilxtr:sparc-nlp/mmset1/3,[],['UBERON:0022301'],"['FMA:52700', 'FMA:52701', 'FMA:82734', 'FMA:82735']",True
147,ilxtr:sparc-nlp/mmset1/3a,[],['UBERON:0022302'],[],False
148,ilxtr:sparc-nlp/mmset2cn/4,[],['UBERON:0022302'],[],False
149,ilxtr:sparc-nlp/mmset2cn/5,[],['UBERON:0022302'],[],False
150,ilxtr:sparc-nlp/mmset2cn/1,[],['UBERON:0001643'],"['FMA:50879', 'FMA:50880']",True
151,ilxtr:sparc-nlp/mmset2cn/6,[],['ILX:0793723'],"['FMA:53001', 'FMA:53002']",True
152,ilxtr:sparc-nlp/mmset2cn/9,[],['UBERON:0008810'],"['FMA:52798', 'FMA:52799']",True
153,ilxtr:sparc-nlp/mmset4/3,[],['ILX:0793807'],[],False
154,ilxtr:sparc-nlp/mmset4/3a,[],['ILX:0793807'],[],False
155,ilxtr:sparc-nlp/mmset4/3b,[],['ILX:0793807'],[],False
156,ilxtr:sparc-nlp/mmset4/3c,[],['ILX:0793807'],[],False
157,ilxtr:sparc-nlp/mmset4/3e,[],['ILX:0793809'],[],False
158,ilxtr:sparc-nlp/senmot/1,[],['UBERON:0003724'],"['FMA:37065', 'FMA:37066']",True
159,ilxtr:sparc-nlp/senmot/17,[],['UBERON:0003724'],"['FMA:37065', 'FMA:37066']",True
160,ilxtr:sparc-nlp/senmot/18,[],['UBERON:0003724'],"['FMA:37065', 'FMA:37066']",True
161,ilxtr:sparc-nlp/senmot/2,[],['UBERON:0003724'],"['FMA:37065', 'FMA:37066']",True
162,ilxtr:sparc-nlp/senmot/20,[],['UBERON:0003724'],"['FMA:37065', 'FMA:37066']",True
163,ilxtr:sparc-nlp/senmot/3,[],['UBERON:0003724'],"['FMA:37065', 'FMA:37066']",True
164,ilxtr:sparc-nlp/senmot/67,[],['UBERON:0003724'],"['FMA:37065', 'FMA:37066']",True
165,ilxtr:sparc-nlp/senmot/10,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
166,ilxtr:sparc-nlp/senmot/11,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
