,nerve id,label,covered,subclasses,subclass labels
59,UBERON:0018412,vidian nerve,False,[],[]
60,UBERON:0001647,facial nerve,False,"['FMA:50888', 'FMA:50889']","[['right facial nerve tree', 'right facial nerve'], ['left facial nerve tree', 'left facial nerve']]"
61,ILX:0790497,gray communicating ramus of cervicothoracic ganglion to first thoracic spinal nerve,False,"['FMA:6082', 'FMA:6084']","[['gray ramus communicans of right first intercostal nerve', 'gray communicating ramus of right first intercostal nerve', 'gray communicating ramus of right first thoracic anterior ramus'], ['gray communicating ramus of left first intercostal nerve', 'gray communicating ramus of left first thoracic anterior ramus', 'gray ramus communicans of left first intercostal nerve']]"
62,ILX:0739304,gray communicating ramus of third thoracic nerve,False,"['FMA:6124', 'FMA:6133']","[['gray communicating ramus of right third thoracic anterior ramus', 'gray ramus communicans of right third intercostal nerve', 'gray communicating ramus of right third intercostal nerve'], ['gray communicating ramus of left third thoracic anterior ramus', 'gray ramus communicans of left third intercostal nerve', 'gray communicating ramus of left third intercostal nerve']]"
63,UBERON:0001780,spinal nerve,False,"['FMA:6038', 'FMA:6039', 'FMA:6088', 'FMA:6089', 'FMA:6116', 'FMA:6117', 'FMA:6182', 'FMA:6183', 'FMA:6291', 'FMA:6292', 'FMA:6294', 'FMA:6295', 'FMA:6297', 'FMA:6298', 'FMA:6300', 'FMA:6301', 'FMA:6303', 'FMA:6305', 'FMA:6307', 'FMA:6308', 'FMA:6310', 'FMA:6311', 'FMA:6313', 'FMA:6314', 'FMA:6410', 'FMA:6411', 'FMA:6412', 'FMA:6413', 'FMA:6417', 'FMA:6418', 'FMA:6419', 'FMA:6420', 'FMA:6421', 'FMA:6422', 'FMA:6428', 'FMA:6429', 'FMA:6430', 'FMA:6431', 'FMA:6432', 'FMA:6433', 'FMA:6434', 'FMA:6435', 'FMA:6436', 'FMA:6437', 'FMA:6438', 'FMA:6439']","[['right first thoracic spinal nerve', 'right first thoracic nerve'], ['left first thoracic nerve', 'left first thoracic spinal nerve'], ['right second thoracic nerve', 'right second thoracic spinal nerve'], ['left second thoracic nerve', 'left second thoracic spinal nerve'], ['right third thoracic spinal nerve', 'right third thoracic nerve'], ['left third thoracic spinal nerve', 'left third thoracic nerve'], ['right twelfth thoracic spinal nerve', 'right twelfth thoracic nerve'], ['left twelfth thoracic spinal nerve', 'left twelfth thoracic nerve'], ['right fourth thoracic spinal nerve', 'right fourth thoracic nerve'], ['left fourth thoracic spinal nerve', 'left fourth thoracic nerve'], ['right fifth thoracic spinal nerve', 'right fifth thoracic nerve'], ['left fifth thoracic spinal nerve', 'left fifth thoracic nerve'], ['right sixth thoracic spinal nerve', 'right sixth thoracic nerve'], ['left sixth thoracic spinal nerve', 'left sixth thoracic nerve'], ['right seventh thoracic nerve', 'right seventh thoracic spinal nerve'], ['left seventh thoracic spinal nerve', 'left seventh thoracic nerve'], ['right eighth thoracic spinal nerve', 'right eighth thoracic nerve'], ['left eighth thoracic nerve', 'left eighth thoracic spinal nerve'], ['right ninth thoracic nerve', 'right ninth thoracic spinal nerve'], ['left ninth thoracic nerve', 'left ninth thoracic spinal nerve'], ['right tenth thoracic spinal nerve', 'right tenth thoracic nerve'], ['left tenth thoracic nerve', 'left tenth thoracic spinal nerve'], ['right eleventh thoracic nerve', 'right eleventh thoracic spinal nerve'], ['left eleventh thoracic spinal nerve', 'left eleventh thoracic nerve'], ['right first lumbar spinal nerve', 'right first lumbar nerve'], ['left first lumbar spinal nerve', 'left first lumbar nerve'], ['right second lumbar nerve', 'right second lumbar spinal nerve'], ['left second lumbar spinal nerve', 'left second lumbar nerve'], ['right third lumbar spinal nerve', 'right third lumbar nerve'], ['left third lumbar nerve', 'left third lumbar spinal nerve'], ['right fourth lumbar spinal nerve', 'right fourth lumbar nerve'], ['left fourth lumbar nerve', 'left fourth lumbar spinal nerve'], ['right fifth lumbar spinal nerve', 'right fifth lumbar nerve'], ['left fifth lumbar spinal nerve', 'left fifth lumbar nerve'], ['right first sacral nerve', 'right first sacral spinal nerve'], ['left first sacral nerve', 'left first sacral spinal nerve'], ['right second sacral nerve', 'right second sacral spinal nerve'], ['left second sacral nerve', 'left second sacral spinal nerve'], ['right third sacral nerve', 'right third sacral spinal nerve'], ['left third sacral spinal nerve', 'left third sacral nerve'], ['right fourth sacral spinal nerve', 'right fourth sacral nerve'], ['left fourth sacral nerve', 'left fourth sacral spinal nerve'], ['right fifth sacral spinal nerve', 'right fifth sacral nerve'], ['left fifth sacral spinal nerve', 'left fifth sacral nerve'], ['right coccygeal spinal nerve', 'right coccygeal nerve'], ['left coccygeal nerve', 'left coccygeal spinal nerve']]"
64,ILX:0739303,gray communicating ramus of second thoracic nerve,False,"['FMA:6122', 'FMA:6757']","[['gray ramus communicans of right second intercostal nerve', 'gray communicating ramus of right second intercostal nerve', 'gray communicating ramus of right second thoracic anterior ramus'], ['gray ramus communicans of left second intercostal nerve', 'gray communicating ramus of left second intercostal nerve', 'gray communicating ramus of left second thoracic anterior ramus']]"
65,ILX:0793714,mesenteric nerve,False,[],[]
66,ILX:0793713,deep petrosal nerve,False,"['FMA:0328826', 'FMA:0328827']","[['right deep petrosal nerve', 'sympathetic root of right pterygopalatine ganglion'], ['left deep petrosal nerve', 'sympathetic root of left pterygopalatine ganglion']]"
67,ILX:0793711,communicating branch of zygomatic nerve,False,[],[]
68,UBERON:0011096,lacrimal nerve,False,"['FMA:52629', 'FMA:52630']","[['right lacrimal nerve'], ['left lacrimal nerve']]"
69,ILX:0793712,zygomatic nerve,False,"['FMA:52968', 'FMA:52969']","[['right zygomatic nerve'], ['left zygomatic nerve']]"
70,UBERON:0022301,long ciliary nerve,False,"['FMA:52700', 'FMA:52701', 'FMA:82734', 'FMA:82735']","[['long ciliary nerve to right iris'], ['long ciliary nerve to left iris'], ['right long ciliary nerve'], ['left long ciliary nerve']]"
71,UBERON:0022302,short ciliary nerve,False,[],[]
72,UBERON:0036216,tympanic nerve,False,"['FMA:53481', 'FMA:53482']","[['right tympanic nerve'], ['left tympanic nerve']]"
73,ILX:0793722,lesser petrosal nerve,False,"['FMA:53502', 'FMA:53503']","[['right lesser petrosal nerve'], ['left lesser petrosal nerve']]"
74,UBERON:0001643,oculomotor nerve,False,"['FMA:50879', 'FMA:50880']","[['right third cranial nerve', 'right oculomotor nerve tree', 'right oculomotor nerve'], ['left oculomotor nerve', 'left third cranial nerve', 'left oculomotor nerve tree']]"
75,UBERON:0003721,lingual nerve,False,"['FMA:53219', 'FMA:53220']","[['right lingual nerve'], ['left lingual nerve']]"
76,UBERON:0009675,chorda tympani branch of facial nerve,False,"['ILX:0795106', 'ILX:0795105']","['Chorda tympani branch of left facial nerve', 'Chorda tympani branch of right facial nerve']"
77,ILX:0793723,auriculotemporal nerve,False,"['FMA:53001', 'FMA:53002']","[['right auriculotemporal nerve'], ['left auriculotemporal nerve']]"
78,UBERON:0008810,nasopalatine nerve,False,"['FMA:52798', 'FMA:52799']","[['right nasopalatine nerve'], ['left nasopalatine nerve']]"
79,ILX:0793807,penile cavernous nerve,False,[],[]
80,ILX:0793809,clitoral cavernous nerve,False,[],[]
81,UBERON:0003724,musculocutaneous nerve,False,"['FMA:37065', 'FMA:37066']","[['right musculocutaneous nerve'], ['left musculocutaneous nerve']]"
82,UBERON:0001148,median nerve,False,"['FMA:37067', 'FMA:37068']","[['right median nerve'], ['left median nerve']]"
83,UBERON:0001267,femoral nerve,False,"['FMA:16499', 'FMA:16500']","[['right femoral nerve'], ['left femoral nerve']]"
84,ILX:0794959,posterior rami lower cervical nerves,False,[],[]
85,ILX:0795006,suboccipital nerve,False,[],[]
86,UBERON:0034984,nerve to quadratus femoris,False,[],[]
87,UBERON:0005465,obturator nerve,False,"['FMA:16501', 'FMA:16502']","[['right obturator nerve'], ['left obturator nerve']]"
88,ILX:0794949,recurrent branch of the median nerve,False,[],[]
89,UBERON:0001323,tibial nerve,False,"['FMA:22109', 'FMA:22110']","[['right tibial nerve'], ['left tibial nerve']]"
90,UBERON:0001322,sciatic nerve,False,"['FMA:22111', 'FMA:22112']","[['right sciatic nerve'], ['left sciatic nerve']]"
91,UBERON:0035526,superficial fibular nerve,False,"['FMA:45363', 'FMA:45364']","[['right superficial fibular nerve'], ['left superficial fibular nerve']]"
92,UBERON:0035207,deep fibular nerve,False,"['FMA:45387', 'FMA:45388']","[['right deep fibular nerve'], ['left deep fibular nerve']]"
93,UBERON:0035111,medial plantar nerve,False,"['FMA:45434', 'FMA:45435']","[['right medial plantar nerve'], ['left medial plantar nerve']]"
